Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,90,0,63,451.7988010553381,45.08554600033676,5888.659467000252,7982.0,4.309246986785146,0.0,63,260,480,700,1100,2000,4400,5900,5900,5900,5900
GET,/admin/stats,393,0,48,1718.5007704529125,33.531698001752375,8474.136066000938,2816.562340966921,18.817045175628472,0.0,48,68,2200,5300,7400,7800,8000,8300,8500,8500,8500
GET,/admin/users?page=1&limit=20,36,0,57,181.71314902782694,38.48868100249092,1019.6571579981537,7119.0,1.7236987947140585,0.0,58,93,340,370,440,920,1000,1000,1000,1000,1000
GET,/admin/users?page=1&limit=20&is_active=false,3,0,450,514.3333343330596,63.56784899980994,1029.0254739993543,7228.0,0.14364156622617152,0.0,450,450,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/admin/users?page=1&limit=20&is_active=true,5,0,49,131.176558000152,46.662881002703216,462.34851099870866,7119.0,0.23940261037695257,0.0,49,51,51,460,460,460,460,460,460,460,460
GET,/admin/users?page=2&limit=20,32,0,74,223.5104582812255,43.19358700013254,1297.5263750013255,7205.0,1.5321767064124965,0.0,100,190,260,350,670,810,1300,1300,1300,1300,1300
GET,/admin/users?page=2&limit=20&is_active=false,1,0,48.881972001254326,48.881972001254326,48.881972001254326,48.881972001254326,59.0,0.047880522075390515,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/admin/users?page=2&limit=20&is_active=true,4,0,54,306.24462424930243,49.516520000906894,791.8983809977362,7195.0,0.19152208830156206,0.0,330,330,790,790,790,790,790,790,790,790,790
GET,/admin/users?page=3&limit=20,34,0,59,311.10914061751185,43.45127599663101,3138.426524998067,7150.0,1.6279377505632775,0.0,61,140,220,270,390,2900,3100,3100,3100,3100,3100
GET,/admin/users?page=3&limit=20&is_active=false,6,0,45,86.30006016755942,41.3123149992316,284.9005620009848,59.0,0.28728313245234305,0.0,48,48,56,56,280,280,280,280,280,280,280
GET,/admin/users?page=3&limit=20&is_active=true,8,0,170,339.19064300016544,43.93647899996722,1070.8405799996399,7097.0,0.3830441766031241,0.0,210,270,820,820,1100,1100,1100,1100,1100,1100,1100
GET,/admin/users?page=4&limit=20,32,0,58,519.0168225624348,43.598629999905825,5488.169321000896,7224.0,1.5321767064124965,0.0,71,120,310,420,770,3700,5500,5500,5500,5500,5500
GET,/admin/users?page=4&limit=20&is_active=false,3,0,260,204.646833333148,60.196491998794954,297.76300600133254,59.0,0.14364156622617152,0.0,260,260,300,300,300,300,300,300,300,300,300
GET,/admin/users?page=4&limit=20&is_active=true,6,0,66,138.5376205010592,45.37491999872145,500.80491400149185,7241.0,0.28728313245234305,0.0,75,75,97,97,500,500,500,500,500,500,500
GET,/admin/users?page=5&limit=20,25,0,93,254.25577935980982,44.47860200161813,1897.8535989990633,7088.0,1.1970130518847628,0.0,93,210,310,470,560,620,1900,1900,1900,1900,1900
GET,/admin/users?page=5&limit=20&is_active=false,4,0,57,63.62367500059918,45.57623800064903,84.13333100179443,59.0,0.19152208830156206,0.0,68,68,84,84,84,84,84,84,84,84,84
GET,/admin/users?page=5&limit=20&is_active=true,7,0,97,344.3611307141379,41.82566999952542,1050.132570999267,7086.0,0.33516365452773356,0.0,97,480,640,640,1100,1100,1100,1100,1100,1100,1100
POST,/auth/login [admin],200,0,650,720.2968391200557,372.1102099989366,6408.1034759983595,313.0,9.576104415078103,0.0,650,720,800,880,950,1000,1800,2500,6400,6400,6400
POST,/auth/login [user],800,0,1400,1794.3717207912732,286.3859360004426,7297.779316002561,38.0,38.30441766031241,0.0,1400,1700,1900,2200,3900,6100,6900,7100,7300,7300,7300
GET,/orders [admin list],298,0,140,880.4655052382509,89.47770200029481,6995.666800001345,16695.506711409394,14.268395578466372,0.0,140,660,1200,1700,2700,3400,5300,6200,7000,7000,7000
GET,/products/<id>,1954,0,37,62.076166436989524,28.399830000125803,5847.365082998294,443.8863868986694,93.55854013531307,0.0,37,43,48,53,72,110,190,400,5800,5800,5800
GET,/products?[filters],3779,0,38,85.32269527761838,28.663823002716526,6089.777061999484,2761.808150304313,180.94049292290075,0.0,38,44,49,53,78,130,490,1200,5600,6100,6100
,Aggregated,7720,0,43,396.3407206988358,28.399830000125803,8474.136066000938,2535.3365284974093,369.63763042201475,0.0,43,57,93,170,1000,1900,5200,6900,8000,8500,8500
